client_id	round	local_train_ms	encode_gradient_ms	prove_ms	proof_size_bytes	sign_ms	signature_size_bytes
17	4	8.537	0.028	15.997	45	0.265	3309
18	4	8.885	0.053	20.135	45	0.306	3309
19	4	5.805	0.043	16.334	45	0.161	3309
20	4	8.381	0.044	20.684	45	0.343	3309
21	4	8.573	0.058	29.895	45	0.552	3309
22	4	7.354	0.043	17.718	45	0.198	3309
23	4	8.414	0.053	17.944	45	0.288	3309
24	4	9.595	0.061	20.101	45	0.266	3309
25	4	8.914	0.051	15.042	45	0.171	3309
26	4	6.642	0.059	15.913	45	0.230	3309
27	4	6.290	0.031	14.820	45	0.403	3309
28	4	5.168	0.127	14.554	45	0.252	3309
29	4	5.369	0.025	15.760	45	0.345	3309
30	4	6.506	0.042	16.478	45	0.234	3309
31	4	6.266	0.026	15.565	45	0.635	3309
32	4	6.254	0.035	15.376	45	0.235	3309
33	4	6.134	0.036	15.210	45	0.289	3309
34	4	5.969	0.036	16.076	45	0.518	3309
35	4	6.922	0.031	14.633	45	0.536	3309
36	4	6.357	0.044	14.711	45	0.410	3309
37	4	5.504	0.040	16.774	45	0.216	3309
38	4	4.973	0.039	16.299	45	0.276	3309
39	4	7.818	0.062	17.972	45	0.293	3309
40	4	7.884	0.043	19.183	45	0.531	3309
41	4	9.126	0.061	17.574	45	0.266	3309
42	4	8.045	0.086	19.322	45	0.278	3309
43	4	10.172	0.083	22.312	45	0.378	3309
44	4	8.417	0.123	18.602	45	0.680	3309
45	4	10.542	0.059	19.362	45	0.266	3309
46	4	10.393	0.048	18.902	45	1.173	3309
47	4	9.051	0.060	18.051	45	0.600	3309
48	4	17.628	0.046	12.837	45	0.412	3309
49	4	6.953	0.062	14.756	45	0.425	3309
50	4	5.751	0.036	15.399	45	0.316	3309
51	4	6.528	0.081	14.620	45	0.302	3309
52	4	6.421	0.055	16.083	45	0.441	3309
53	4	6.261	0.042	16.706	45	0.228	3309
54	4	7.629	0.035	25.996	45	0.334	3309
55	4	8.347	0.060	17.983	45	0.478	3309
56	4	7.327	0.054	19.414	45	0.388	3309
57	4	6.299	0.067	16.114	45	0.193	3309
58	4	7.768	0.047	14.558	45	0.313	3309
59	4	7.270	0.109	16.743	45	0.250	3309
60	4	6.593	0.047	15.597	45	0.248	3309
61	4	8.087	0.056	16.477	45	0.282	3309
